Product Name,Category,Displayed Price,Factured Price,Quantity,Product Link
MEAT PRESSING MOLD,"Home, Garden & Furniture",﷼119,494,$ 8,https://cod.network/affiliate/offers/8fbc534e-9200-4396-9444-a098531b56e7
VEGETABLE AND FRUIT PEELER (PURPLE),"Home, Garden & Furniture",﷼179,233,$ 20,https://cod.network/affiliate/offers/9afcdb93-7e44-4d4c-9318-07912446f8d5
ELECTRIC WHISK (BLACK),Electronics & Accessories,﷼199,232,$ 21,https://cod.network/affiliate/offers/a914ade3-ae16-49e2-9a83-1e3a49542897
GOLDEN LURE PHEROMONE PERFUME,"Clothing, Shoes & Jewelry",﷼179,2749,$ 23,https://cod.network/affiliate/offers/71de55ef-73ab-4811-8917-29a5dcf6ea8e
BAELLERRY WALLET LEATHER,"Clothing, Shoes & Jewelry",﷼199,50,$ 23,https://cod.network/affiliate/offers/8fd925bf-df49-46dd-b1f5-26799271e9c8
MAGNETIC BRACELET FOR MEN,"Clothing, Shoes & Jewelry",﷼179,590,$ 25,https://cod.network/affiliate/offers/ce1be084-ce28-45bd-9a50-8be9651cb64a
HANDBAG FOR WOMEN,"Clothing, Shoes & Jewelry",﷼199,300,$ 21,https://cod.network/affiliate/offers/01d55945-2a97-4742-874a-f5f0a5515ebf
FRONT SLIT BRA,Lingerie,﷼189,343,$ 22,https://cod.network/affiliate/offers/58f4ce6a-3a38-4be1-83cb-968638038ef1
LEATHER WOMEN WALLET,"Clothing, Shoes & Jewelry",﷼199,515,$ 23,https://cod.network/affiliate/offers/027683a0-9d67-426b-ac81-a42fbc7bb27b
NATURAL LUNG AND RESPIRATORY SUPPORT SPRAY,Health & Beauty,﷼179,1694,$ 21,https://cod.network/affiliate/offers/489816f2-701e-40f2-a300-ca0fd0b7701e
MULTI-PURPOSE CUTTER,"Home, Garden & Furniture",﷼209,970,$ 21,https://cod.network/affiliate/offers/d4b0c7cd-b7db-453c-bbcd-bb82b3f2ea0f
MULTI-PURPOSE CHOPPER,"Home, Garden & Furniture",﷼179,488,$ 21,https://cod.network/affiliate/offers/9cd7ec14-f937-427e-b162-71550ce4817e
FLAT FLOOR MOP,"Home, Garden & Furniture",﷼199,295,$ 22,https://cod.network/affiliate/offers/25b99ecd-4cd5-4c8e-b634-52e8da405570
GREEN SLIMMING TEA,Health & Beauty,﷼189,77,$ 21,https://cod.network/affiliate/offers/1b2d3174-c999-4c4b-8935-f88d66cb1d6f
SLEEP AID DEVICE,Electronics & Accessories,﷼199,328,$ 22,https://cod.network/affiliate/offers/b38e0f67-2db3-4a38-8411-c7d90b8c0d0b
HIP BUTT ENLARGEMENT GUMMIES,Health & Beauty,﷼199,160,$ 24,https://cod.network/affiliate/offers/31c8acd3-5d62-405d-895e-a83b284e10b9
MAGNETIC CAMERA FOR SURVEILLANCE,Electronics & Accessories,﷼189,1569,$ 21,https://cod.network/affiliate/offers/fbe41c05-7736-4570-b313-8279794becf1
FRECKLE REMOVER FOR SKIN WHITENING,Health & Beauty,﷼169,2500,$ 25,https://cod.network/affiliate/offers/da79b1dc-edb0-42ef-a616-d007d8a9cd16
ELASTIC ARM SLEEVES,"Clothing, Shoes & Jewelry",﷼199,360,$ 29,https://cod.network/affiliate/offers/ec62fe70-f6d1-49a5-bac9-d7ed9b6ac659
YELLOW PEEL OIL,Health & Beauty,﷼175,433,$ 23,https://cod.network/affiliate/offers/0d3ba7f7-32d4-48a6-93f3-5d9a979a3096
ARGAN HAIR MASK,Health & Beauty,﷼179,1131,$ 24,https://cod.network/affiliate/offers/b0389351-fe57-45b3-9774-8447ffe7f6e1
SPORTS KNEE BRACE,Health & Beauty,﷼159,150,$ 23,https://cod.network/affiliate/offers/e15aa8eb-24eb-41b4-b193-dd1412a8fc91
SILICONE INSTEP PADS,"Clothing, Shoes & Jewelry",﷼179,385,$ 25,https://cod.network/affiliate/offers/e1205b21-440a-4975-85a0-cebba19560bc
WOMEN SLIMMING SHAPEWEAR,"Clothing, Shoes & Jewelry",﷼159,340,$ 20,https://cod.network/affiliate/offers/02ea0182-12f6-4bf1-b47a-d38938591ab9
ELECTRIC MANICURE SET,Health & Beauty,﷼169,91,$ 23,https://cod.network/affiliate/offers/7364c503-3c10-4d75-930b-7934e2712d05
WOMEN ORTHOPEDIC SNEAKERS,"Clothing, Shoes & Jewelry",﷼179,103,$ 22,https://cod.network/affiliate/offers/81709584-d869-4423-bed2-f5544830492e
BACK CORSET,Health & Beauty,﷼129,354,$ 20,https://cod.network/affiliate/offers/35491b45-2ae8-4632-becb-aab6c9474274
SMART BACK POSTURE CORRECTOR,Health & Beauty,﷼159,61,$ 20,https://cod.network/affiliate/offers/b2941932-29e1-463a-9392-718ca87375b5
ELECTRIC DOOR HANDLE,"Home, Garden & Furniture",﷼289,318,$ 20,https://cod.network/affiliate/offers/9aa54a1c-6eee-409a-9c50-e4e982584b5d
ELECTRIC NAIL POLISH DRYER,Health & Beauty,﷼189,998,$ 28,https://cod.network/affiliate/offers/e80910a4-0d90-49a5-9ec5-f25091b01b6e
TEETH CLEANING POWDER,Health & Beauty,﷼179,382,$ 25,https://cod.network/affiliate/offers/5048e38c-48e2-4ba3-9cb7-b3c7b29db8e2
MOBILE PHONE LOCKING DEVICE,Electronics & Accessories,﷼239,299,$ 21,https://cod.network/affiliate/offers/761a58d5-9667-4eed-8c0d-7c9abaee0ef5
ANTI-AGING CREAM,Health & Beauty,﷼179,270,$ 23,https://cod.network/affiliate/offers/c9fadd30-b615-4ef4-b9c4-006519fd70d3
SOUNDPROOF PARTS FOR CAR DOOR,Cars & accessories,﷼179,494,$ 23,https://cod.network/affiliate/offers/201005d3-0c83-4f07-b9eb-532ff6297bd9
FACE PEELING MASK,Health & Beauty,﷼119,999,$ 7,https://cod.network/affiliate/offers/6951984a-f0ca-4ccf-87c6-34c44c3b658d
SMALL SHAVING MACHINE,Electronics & Accessories,﷼179,98,$ 20,https://cod.network/affiliate/offers/e0fbb51b-c91e-4d89-815b-61bcd1e6ccdd
INSTANT PAIN RELIEF OIL,Health & Beauty,﷼179,3445,$ 28,https://cod.network/affiliate/offers/333703a9-77ac-4014-bf3a-62dd80671657
ELECTRIC FOOT MASSAGER - KSA,Health & Beauty,﷼199,1144,$ 26,https://cod.network/affiliate/offers/d9028843-39ee-40a1-a9f1-222c97864701
COLLAGEN FACE SERUM SET - KSA,Health & Beauty,﷼189,2013,$ 27,https://cod.network/affiliate/offers/20185f49-325e-4cba-af40-a760e8a0f2e2
HAROUF PERFUME,Health & Beauty,﷼179,1619,$ 23,https://cod.network/affiliate/offers/e9e13efe-a92c-4c65-bddb-4f117605fb4a
HEEL PAIN OINTMENT,Health & Beauty,﷼169,906,$ 27,https://cod.network/affiliate/offers/20c6b681-9de9-4274-8cec-4dfae08b7854
HOUSEHOLD POPCORN MAKING MACHINE,"Home, Garden & Furniture",﷼199,619,$ 20,https://cod.network/affiliate/offers/19f56749-aaa4-4935-b65e-04c594e565c7
EYE CREAM ANTI AGING,Health & Beauty,﷼169,330,$ 21,https://cod.network/affiliate/offers/946f91a5-7dfb-4d1a-b2ac-991a8e74a991
JOINT PAIN RELIEF CREAM,Health & Beauty,﷼169,402,$ 22,https://cod.network/affiliate/offers/27720fce-47ec-4ec0-b127-b225374fca96
COLLAGEN GUM,Health & Beauty,﷼199,277,$ 22,https://cod.network/affiliate/offers/a47e3423-c219-44d9-a7ec-45461a1e6648
SHILAJIT SUPPLEMENT,Health & Beauty,﷼199,158,$ 22,https://cod.network/affiliate/offers/be16ae11-5c64-495a-b8dc-9d7cd427267d
TEETH WHITENING STRIPS,Health & Beauty,﷼179,494,$ 22,https://cod.network/affiliate/offers/f3d738ce-5369-4280-af47-aeff997969c8
MULTI-USE MASSAGER,Electronics & Accessories,﷼179,394,$ 20,https://cod.network/affiliate/offers/fb6e7c09-7997-4bf9-a987-d0852b4fbf43
MULTI-PURPOSE BROOM,"Home, Garden & Furniture",﷼229,782,$ 24,https://cod.network/affiliate/offers/aeb2643a-0773-4818-86de-8e725fcc581a
FACE AND NECK MASSAGE DEVICE,Electronics & Accessories,﷼179,116,$ 24,https://cod.network/affiliate/offers/e4b92b1f-b044-425a-93f5-622599f48612
EYEBROW PERMANENT MAKEUP SET,Health & Beauty,﷼159,560,$ 22,https://cod.network/affiliate/offers/7cc3fdb9-4e40-4305-b696-425cc89851a4
BACK AND SHOULDER CORSET,Health & Beauty,﷼199,354,$ 22,https://cod.network/affiliate/offers/41a5accd-019a-461b-aea2-7c91c7b3d0dc
SPORTS WATER BOTTLE,"Home, Garden & Furniture",﷼199,494,$ 24,https://cod.network/affiliate/offers/5efa7306-9c06-470d-8872-e2cf4d5af646
ANTI AGING SERUM,Health & Beauty,﷼179,486,$ 20,https://cod.network/affiliate/offers/ea1f2b87-0ffd-46fd-bf2d-7ff87e7e7522
LIQUID FOUNDATION,Health & Beauty,﷼169,168,$ 20,https://cod.network/affiliate/offers/8b6cd614-5921-4678-b198-6fbfcf2e0fa5
SILICONE PANCAKE MOLD,"Home, Garden & Furniture",﷼99,432,$ 7,https://cod.network/affiliate/offers/9d9d0eb9-0229-4fe0-969b-4eb134640623
SEXUAL STIMULATOR FOR MEN,Health & Beauty,﷼189,88,$ 21,https://cod.network/affiliate/offers/13d7c1a6-eaed-4b52-819a-c9fad09ff21d
LASER HAIR REMOVAL DEVICE,Electronics & Accessories,﷼229,331,$ 21,https://cod.network/affiliate/offers/af241da2-4448-414c-b93e-cc5dc356d2b3
BLACK MACA CREAM,Health & Beauty,﷼189,277,$ 21,https://cod.network/affiliate/offers/ddf26a60-0cf3-4727-a3f7-11c845b17ac9
MORINGA GREEN TEA,Health & Beauty,﷼199,348,$ 22,https://cod.network/affiliate/offers/c3118151-269d-4b41-bb80-e9a1d0c55889
PURPLE WHITENING TOOTHPASTE,Health & Beauty,﷼179,1884,$ 20,https://cod.network/affiliate/offers/0aa45327-e157-4c40-8ab4-0474ecf3891c
LONG HAIR EXTENSIONS,Health & Beauty,﷼189,3742,$ 21,https://cod.network/affiliate/offers/11a7cdb6-50b0-4e28-9c2c-0cde7259265b
GREEN GINGER SPRAY * 4,Health & Beauty,﷼199,1141,$ 20,https://cod.network/affiliate/offers/dc7bd85f-c529-49d3-8833-1310d77764c9
SMALL MACHINE FOR CLOTHES,"Home, Garden & Furniture",﷼249,278,$ 24,https://cod.network/affiliate/offers/bcf509b8-83e8-494b-bedd-c7235f467368
CURLY HAIR MOUSSE,Health & Beauty,﷼189,977,$ 23,https://cod.network/affiliate/offers/642f84d6-5ddb-487e-9502-46a88a9842ea
CURLY HAIR EXTENSIONS,Health & Beauty,﷼189,3854,$ 21,https://cod.network/affiliate/offers/d5e5973b-3511-4e11-a4bc-51a333bfa132
VACUUM CLEANER,Electronics & Accessories,﷼189,975,$ 20,https://cod.network/affiliate/offers/f2000bd9-651b-45c0-a8a5-e9b2f7760451
HAIR CARE PACK,Health & Beauty,﷼219,193,$ 22,https://cod.network/affiliate/offers/8b27c985-f9c9-4260-81bd-9641b85bb7fd
MAGNETIC EYELASHES PACK,Health & Beauty,﷼189,452,$ 21,https://cod.network/affiliate/offers/5d3d383f-828f-4dad-acf6-35283bc764f1
BEARD HIGHLIGHTER PEN,Health & Beauty,﷼179,982,$ 20,https://cod.network/affiliate/offers/6e8752a5-8560-4a11-8bab-5817b07d1662
BLUETOOTH TRACKER DEVICE,Electronics & Accessories,﷼169,517,$ 23,https://cod.network/affiliate/offers/bd32af9d-a21e-422c-8ee4-e58916791c27
PURPLE TOOTHPASTE,Health & Beauty,﷼179,1753,$ 21,https://cod.network/affiliate/offers/7c8305d2-14ac-4b9f-afd3-5be47a04e33f
EDUCATIONAL BOOKS FOR CHILDREN,Education,﷼189,150,$ 20,https://cod.network/affiliate/offers/95f3a5a6-3d80-4e00-94b7-380f0afe823f
AFTERTASTE REMOVAL SERUM,Health & Beauty,﷼179,52,$ 20,https://cod.network/affiliate/offers/c7ea9a5e-e4c6-4549-8111-a579999e4457
TRANSPARENT WATERPROOF COATING,"Home, Garden & Furniture",﷼189,331,$ 23,https://cod.network/affiliate/offers/07350d78-9e11-42d7-bb8c-a005eded105f
NIPPLE WHITENING CREAM,Health & Beauty,﷼189,500,$ 20,https://cod.network/affiliate/offers/c8bab3ef-f8c7-4c4b-8abb-a81a90a6b6b7
VISTAL CREAM,Health & Beauty,﷼189,306,$ 20,https://cod.network/affiliate/offers/60b5b86f-a7d7-4291-978b-906cbeaadb57
ELECTRIC HAIR CURLER,Electronics & Accessories,﷼199,296,$ 20,https://cod.network/affiliate/offers/d359f087-cd47-4dcd-9a35-9b28fd7d18eb
STRAIGHT HAIR EXTENSIONS,Health & Beauty,﷼189,781,$ 21,https://cod.network/affiliate/offers/8009f747-4075-488d-a38a-654d8e636ce1
SHORT HAIR EXTENSIONS,Health & Beauty,﷼189,2465,$ 20,https://cod.network/affiliate/offers/d0b94022-7ba0-482e-9ab4-c93ff7338daf
WATCH WITH CIGARETTE LIGHTER,Electronics & Accessories,﷼199,259,$ 18,https://cod.network/affiliate/offers/4d238aa5-ebfc-4a7f-98dd-612da87af51e
SANDA SPORTS WATCH,Electronics & Accessories,﷼219,133,$ 21,https://cod.network/affiliate/offers/786e07b2-45ec-465c-adf4-b55b1c1ef9b8
SLIMMING PATCH,Health & Beauty,﷼179,760,$ 20,https://cod.network/affiliate/offers/d3862abf-b95c-4d8d-ae97-943067aa2279
BLACK BRIGHT CURING SHAMPOO,Health & Beauty,﷼189,459,$ 23,https://cod.network/affiliate/offers/14e00d5b-9c7d-4199-a775-e37dbd41a3b2
SOLAR WALL LIGHT,"Home, Garden & Furniture",﷼179,773,$ 20,https://cod.network/affiliate/offers/973257d0-5cd9-42ab-b614-976f83b69865
WATERPROOF SMART WATCH,Electronics & Accessories,﷼229,282,$ 22,https://cod.network/affiliate/offers/74b240ba-8dca-4540-92a6-faf9ca064ad6
2X COPPER FLOOR DRAIN,"Home, Garden & Furniture",﷼189,1061,$ 20,https://cod.network/affiliate/offers/1ff36676-1845-41ad-81a1-64fe08575c88
HAIR PACK TRIO,Health & Beauty,﷼199,448,$ 20,https://cod.network/affiliate/offers/5a12ff57-f0f6-4cdf-bb00-da699f3e1e5e
SKIN CARE CREAM,Health & Beauty,﷼189,6687,$ 20,https://cod.network/affiliate/offers/c50ede6e-6b00-4913-afad-4c5185788d39
ERECTILE DYSFUNCTION CREAM,Health & Beauty,﷼189,467,$ 19,https://cod.network/affiliate/offers/2ba689f0-39eb-41c9-b877-e8a019b1a147
CREAM OINTMENT ARTHRITIS,Health & Beauty,﷼179,2515,$ 20,https://cod.network/affiliate/offers/65a6285a-b7c3-4bf1-9325-b07515394a0b
SILICONE BRA,Lingerie,﷼169,190,$ 20,https://cod.network/affiliate/offers/3b80ca04-9a11-4564-97c1-c8d1356911c2
WAIST CORSET,Lingerie,﷼179,197,$ 20,https://cod.network/affiliate/offers/928b6da0-eb61-4591-ba94-b290ba236d2e
LEG EXERCISER PORTABLE (BLUE),Toys & Games,﷼189,225,$ 20,https://cod.network/affiliate/offers/7cb19b77-af14-4450-8021-c393c5b4b050
INSULATED MUG (GREEN),"Home, Garden & Furniture",﷼199,238,$ 21,https://cod.network/affiliate/offers/75e0d555-02b3-4db5-93f3-f925fd11df84
FASHION HEART & NECKLACE GOLD,"Clothing, Shoes & Jewelry",﷼179,168,$ 21,https://cod.network/affiliate/offers/f8fc0706-108a-4a10-967e-4fbe3734243c
KIDS MONEY BANK MACHINE (BLEU),Toys & Games,﷼199,140,$ 21,https://cod.network/affiliate/offers/95debd4b-463d-4e0d-b76d-dfc0936cec9d
BEARD GROWTH,Health & Beauty,﷼269,118,$ 25,https://cod.network/affiliate/offers/b04a6ab0-644c-42a4-a634-6b52ec4166a5
MAGIC SCAR REMOVAL CREAM,Health & Beauty,﷼179,2883,$ 25,https://cod.network/affiliate/offers/fa02aa5b-8f8b-41b8-8f7f-db0bb88dbb02
HOUSEHOLD ANTI-THEFT DOOR LOCK,Electronics & Accessories,﷼199,846,$ 20,https://cod.network/affiliate/offers/23fccc44-066e-4a01-bc57-f3cff0eec561
WIRELESS FOLDABLE MAKEUP MIRROR,Electronics & Accessories,﷼219,160,$ 20,https://cod.network/affiliate/offers/811b18e2-efa2-4a1d-a646-7be5f41a9456
NICOTINE CRAVING RELIEF SPRAY,Health & Beauty,﷼179,144,$ 19,https://cod.network/affiliate/offers/cc7d2f6f-70e4-416e-9a08-608a3cd66980
ELECTRIC LINT REMOVER FOR CLOTHES,Electronics & Accessories,﷼179,775,$ 20,https://cod.network/affiliate/offers/ef6e3725-8ac1-4f4c-97b9-d393c4c32539
SKIN CARE FACIAL MACHINE,Electronics & Accessories,﷼189,173,$ 21,https://cod.network/affiliate/offers/d9e9c3ba-c48a-4fbe-9327-857842154ed7
MOBILE PHONE AND TABLET PC HOLDER,Electronics & Accessories,﷼209,282,$ 21,https://cod.network/affiliate/offers/c1701d06-9546-4e1f-a3ca-001fc2d55d48
PROFESSIONAL HAIR TRIMMER,Health & Beauty,﷼199,136,$ 26,https://cod.network/affiliate/offers/b89cfe15-f5ab-41a1-88dc-92be59df69f9
KNIFE SHARPENING TOOL - KSA,"Home, Garden & Furniture",﷼199,211,$ 20,https://cod.network/affiliate/offers/e1db35e0-b543-4852-aa24-f210de8f9825
EYEBROW STAMP SHAPING KIT - CH,Health & Beauty,﷼199,81,$ 25,https://cod.network/affiliate/offers/e7be0735-7984-4527-916c-868137f066d4
ULTRASONIC INSECT REPELLENT DEVICE,Electronics & Accessories,﷼179,476,$ 20,https://cod.network/affiliate/offers/83b6321b-ac87-4e1c-8c02-8443d2e867b1
HAIR REGROWTH SERUM,Health & Beauty,﷼179,125,$ 20,https://cod.network/affiliate/offers/33246319-16c2-4836-8951-c0a9576b984e
FOLDABLE NECK FAN,Electronics & Accessories,﷼189,254,$ 20,https://cod.network/affiliate/offers/84173c08-ced1-416e-a4b4-80906c985cc8
GINGER SHAMPOO,Health & Beauty,﷼189,559,$ 19,https://cod.network/affiliate/offers/918464ba-f8d1-403e-9f3d-f84b150cdf5e
NATURAL SEXUAL STIMULATOR,Health & Beauty,﷼189,209,$ 18,https://cod.network/affiliate/offers/07458f4b-99ba-4056-a784-d64b130b41be
ONESTEP HAIR DRYER 2IN1,Health & Beauty,﷼299,143,$ 25,https://cod.network/affiliate/offers/4866dc93-aae8-4c24-8851-7141edf090f3
NECK PILLOW FOR CAR SEAT,Cars & accessories,﷼189,743,$ 21,https://cod.network/affiliate/offers/d10efb68-f022-47c4-ad15-8ed56cba736c
CAR PAINT PROTECTION SPRAY,Cars & accessories,﷼189,660,$ 21,https://cod.network/affiliate/offers/2280fa33-47fa-488d-8439-c8dcc380ab00
SPRAY HERBAL PILES,Health & Beauty,﷼179,318,$ 20,https://cod.network/affiliate/offers/9c9dbb92-afb5-41fe-8d55-e9a24ef34784
GINSENG FACIAL SERUM,Health & Beauty,﷼179,469,$ 21,https://cod.network/affiliate/offers/ebb0c36a-3f1e-4790-9cc2-c24fd7939efd
KITCHEN FAUCET HEAD,"Home, Garden & Furniture",﷼179,787,$ 21,https://cod.network/affiliate/offers/7c153048-3e23-459f-aa8b-ac3f00dc099c
FACIAL SERUM,Health & Beauty,﷼179,618,$ 20,https://cod.network/affiliate/offers/dc037c49-88e6-4547-901f-65f23146ccd2
